Symbol,Company Name
RELIANCE,Reliance Industries Limited
TCS,Tata Consultancy Services Limited
HDFCBANK,HDFC Bank Limited
ICICIBANK,ICICI Bank Limited
HINDUNILVR,Hindustan Unilever Limited
INFY,Infosys Limited
HDFC,Housing Development Finance Corporation Limited
ITC,ITC Limited
SBIN,State Bank of India
BHARTIARTL,Bharti Airtel Limited
KOTAKBANK,Kotak Mahindra Bank Limited
BAJFINANCE,Bajaj Finance Limited
LICI,Life Insurance Corporation Of India
LT,Larsen & Toubro Limited
HCLTECH,HCL Technologies Limited
ASIANPAINT,Asian Paints Limited
AXISBANK,Axis Bank Limited
MARUTI,Maruti Suzuki India Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
TITAN,Titan Company Limited
DMART,Avenue Supermarts Limited
ULTRACEMCO,UltraTech Cement Limited
BAJAJFINSV,Bajaj Finserv Limited
WIPRO,Wipro Limited
ADANIENT,Adani Enterprises Limited
ONGC,Oil & Natural Gas Corporation Limited
NTPC,NTPC Limited
JSWSTEEL,JSW Steel Limited
POWERGRID,Power Grid Corporation of India Limited
M&M,Mahindra & Mahindra Limited
LTIM,LTIMindtree Limited
TATAMOTORS,Tata Motors Limited
ADANIGREEN,Adani Green Energy Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
COALINDIA,Coal India Limited
TATASTEEL,Tata Steel Limited
HINDZINC,Hindustan Zinc Limited
PIDILITIND,Pidilite Industries Limited
SIEMENS,Siemens Limited
ADANITRANS,Adani Transmission Limited
SBILIFE,SBI Life Insurance Company Limited
IOC,Indian Oil Corporation Limited
BAJAJ-AUTO,Bajaj Auto Limited
GRASIM,Grasim Industries Limited
TECHM,Tech Mahindra Limited
HDFCLIFE,HDFC Life Insurance Company Limited
BRITANNIA,Britannia Industries Limited
VEDL,Vedanta Limited
GODREJCP,Godrej Consumer Products Limited
DABUR,Dabur India Limited
ATGL,Adani Total Gas Limited
SHREECEM,SHREE CEMENT LIMITED
HAL,Hindustan Aeronautics Limited
HINDALCO,Hindalco Industries Limited
VBL,Varun Beverages Limited
DLF,DLF Limited
BANKBARODA,Bank of Baroda
INDUSINDBK,IndusInd Bank Limited
EICHERMOT,Eicher Motors Limited
DRREDDY,Dr. Reddy's Laboratories Limited
DIVISLAB,Divi's Laboratories Limited
BPCL,Bharat Petroleum Corporation Limited
HAVELLS,Havells India Limited
ADANIPOWER,Adani Power Limited
INDIGO,InterGlobe Aviation Limited
CIPLA,Cipla Limited
AMBUJACEM,Ambuja Cements Limited
SRF,SRF Limited
ABB,ABB India Limited
BEL,Bharat Electronics Limited
SBICARD,SBI Cards and Payment Services Limited
GAIL,GAIL (India) Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
ICICIPRULI,ICICI Prudential Life Insurance Company Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
MARICO,Marico Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
TATAPOWER,Tata Power Company Limited
BOSCHLTD,Bosch Limited
BERGEPAINT,Berger Paints (I) Limited
JINDALSTEL,Jindal Steel & Power Limited
MCDOWELL-N,United Spirits Limited
UPL,UPL Limited
AWL,Adani Wilmar Limited
ICICIGI,ICICI Lombard General Insurance Company Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
CANBK,Canara Bank
PNB,Punjab National Bank
TVSMOTOR,TVS Motor Company Limited
ZYDUSLIFE,Zydus Lifesciences Limited
TIINDIA,Tube Investments of India Limited
TRENT,Trent Limited
IDBI,IDBI Bank Limited
NAUKRI,Info Edge (India) Limited
SHRIRAMFIN,Shriram Finance Limited
HEROMOTOCO,Hero MotoCorp Limited
INDHOTEL,The Indian Hotels Company Limited
PIIND,PI Industries Limited
IRCTC,Indian Railway Catering And Tourism Corporation Limited
CGPOWER,CG Power and Industrial Solutions Limited
UNIONBANK,Union Bank of India
MOTHERSON,Samvardhana Motherson International Limited
CUMMINSIND,Cummins India Limited
SCHAEFFLER,Schaeffler India Limited
LODHA,Macrotech Developers Limited
ZOMATO,Zomato Limited
PGHH,Procter & Gamble Hygiene and Health Care Limited
YESBANK,Yes Bank Limited
POLYCAB,Polycab India Limited
MAXHEALTH,Max Healthcare Institute Limited
IOB,Indian Overseas Bank
PAGEIND,Page Industries Limited
COLPAL,Colgate Palmolive (India) Limited
ASHOKLEY,Ashok Leyland Limited
ALKEM,Alkem Laboratories Limited
NHPC,NHPC Limited
PAYTM,One 97 Communications Limited
PFC,Power Finance Corporation Limited
JSWENERGY,JSW Energy Limited
MUTHOOTFIN,Muthoot Finance Limited
AUBANK,AU Small Finance Bank Limited
INDUSTOWER,Indus Towers Limited
BALKRISIND,Balkrishna Industries Limited
UBL,United Breweries Limited
ABCAPITAL,Aditya Birla Capital Limited
TATAELXSI,Tata Elxsi Limited
DALBHARAT,Dalmia Bharat Limited
HDFCAMC,HDFC Asset Management Company Limited
INDIANB,Indian Bank
ASTRAL,Astral Limited
BHARATFORG,Bharat Forge Limited
LTTS,L&T Technology Services Limited
MRF,MRF Limited
TATACOMM,Tata Communications Limited
NYKAA,FSN E-Commerce Ventures Limited
CONCOR,Container Corporation of India Limited
PERSISTENT,Persistent Systems Limited
PATANJALI,Patanjali Foods Limited
IRFC,Indian Railway Finance Corporation Limited
LINDEINDIA,Linde India Limited
IDFCFIRSTB,IDFC First Bank Limited
PETRONET,Petronet LNG Limited
SOLARINDS,Solar Industries India Limited
SAIL,Steel Authority of India Limited
MPHASIS,MphasiS Limited
HINDPETRO,Hindustan Petroleum Corporation Limited
APLAPOLLO,APL Apollo Tubes Limited
FLUOROCHEM,Gujarat Fluorochemicals Limited
NMDC,NMDC Limited
HONAUT,Honeywell Automation India Limited
SUPREMEIND,Supreme Industries Limited
GUJGASLTD,Gujarat Gas Limited
BANDHANBNK,Bandhan Bank Limited
ACC,ACC Limited
OBEROIRLTY,Oberoi Realty Limited
BANKINDIA,Bank of India
RECLTD,REC Limited
AUROPHARMA,Aurobindo Pharma Limited
STARHEALTH,Star Health and Allied Insurance Company Limited
IGL,Indraprastha Gas Limited
LUPIN,Lupin Limited
UCOBANK,UCO Bank
JUBLFOOD,Jubilant Foodworks Limited
POLICYBZR,PB Fintech Limited
GODREJPROP,Godrej Properties Limited
M&MFIN,Mahindra & Mahindra Financial Services Limited
IDEA,Vodafone Idea Limited
OFSS,Oracle Financial Services Software Limited
FEDERALBNK,The Federal Bank  Limited
MANYAVAR,Vedant Fashions Limited
UNOMINDA,UNO Minda Limited
AIAENG,AIA Engineering Limited
THERMAX,Thermax Limited
OIL,Oil India Limited
VOLTAS,Voltas Limited
3MINDIA,3M India Limited
COROMANDEL,Coromandel International Limited
SUNDARMFIN,Sundaram Finance Limited
KPITTECH,KPIT Technologies Limited
DEEPAKNTR,Deepak Nitrite Limited
ESCORTS,Escorts Kubota Limited
BIOCON,Biocon Limited
TATACHEM,Tata Chemicals Limited
TORNTPOWER,Torrent Power Limited
GMRINFRA,GMR Airports Infrastructure Limited
BHEL,Bharat Heavy Electricals Limited
SONACOMS,Sona BLW Precision Forgings Limited
DELHIVERY,Delhivery Limited
SYNGENE,Syngene International Limited
CRISIL,CRISIL Limited
GICRE,General Insurance Corporation of India
COFORGE,Coforge Limited
PHOENIXLTD,The Phoenix Mills Limited
JKCEMENT,JK Cement Limited
POONAWALLA,Poonawalla Fincorp Limited
GLAXO,GlaxoSmithKline Pharmaceuticals Limited
MFSL,Max Financial Services Limited
METROBRAND,Metro Brands Limited
MSUMI,Motherson Sumi Wiring India Limited
SUMICHEM,Sumitomo Chemical India Limited
RELAXO,Relaxo Footwears Limited
NAVINFLUOR,Navin Fluorine International Limited
SKFINDIA,SKF India Limited
CENTRALBK,Central Bank of India
GLAND,Gland Pharma Limited
KANSAINER,Kansai Nerolac Paints Limited
GRINDWELL,Grindwell Norton Limited
TIMKEN,Timken India Limited
IPCALAB,IPCA Laboratories Limited
SUNDRMFAST,Sundram Fasteners Limited
ATUL,Atul Limited
ZEEL,Zee Entertainment Enterprises Limited
L&TFH,L&T Finance Holdings Limited
ABFRL,Aditya Birla Fashion and Retail Limited
APOLLOTYRE,Apollo Tyres Limited
KPRMILL,K.P.R. Mill Limited
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited
FORTIS,Fortis Healthcare Limited
AARTIIND,Aarti Industries Limited
HATSUN,Hatsun Agro Product Limited
CARBORUNIV,Carborundum Universal Limited
CROMPTON,Crompton Greaves Consumer Electricals Limited
VINATIORGA,Vinati Organics Limited
IIFL,IIFL Finance Limited
BATAINDIA,Bata India Limited
BDL,Bharat Dynamics Limited
LICHSGFIN,LIC Housing Finance Limited
RAJESHEXPO,Rajesh Exports Limited
RAMCOCEM,The Ramco Cements Limited
ENDURANCE,Endurance Technologies Limited
DEVYANI,Devyani International Limited
PSB,Punjab & Sind Bank
DIXON,Dixon Technologies (India) Limited
KAJARIACER,Kajaria Ceramics Limited
WHIRLPOOL,Whirlpool of India Limited
MAHABANK,Bank of Maharashtra
SUNTV,Sun TV Network Limited
PEL,Piramal Enterprises Limited
PRESTIGE,Prestige Estates Projects Limited
NIACL,The New India Assurance Company Limited
RADICO,Radico Khaitan Limited
PFIZER,Pfizer Limited
NH,Narayana Hrudayalaya Ltd.
EMAMILTD,Emami Limited
LAURUSLABS,Laurus Labs Limited
FIVESTAR,Five-Star Business Finance Limited
AJANTPHARM,Ajanta Pharma Limited
INDIAMART,Indiamart Intermesh Limited
360ONE,360 ONE WAM LIMITED
KEI,KEI Industries Limited
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
LALPATHLAB,Dr. Lal Path Labs Ltd.
JSL,Jindal Stainless Limited
IRB,IRB Infrastructure Developers Limited
EXIDEIND,Exide Industries Limited
PVR,PVR Limited
GSPL,Gujarat State Petronet Limited
BLUEDART,Blue Dart Express Limited
NATIONALUM,National Aluminium Company Limited
RVNL,Rail Vikas Nigam Limited
CREDITACC,CREDITACCESS GRAMEEN LIMITED
TRIDENT,Trident Limited
POWERINDIA,Hitachi Energy India Limited
MEDANTA,Global Health Limited
GILLETTE,Gillette India Limited
RATNAMANI,Ratnamani Metals & Tubes Limited
ELGIEQUIP,Elgi Equipments Limited
ISEC,ICICI Securities Limited
CGCL,Capri Global Capital Limited
GODREJIND,Godrej Industries Limited
CLEAN,Clean Science and Technology Limited
MAZDOCK,Mazagon Dock Shipbuilders Limited
MAHINDCIE,Mahindra CIE Automotive Limited
AEGISCHEM,Aegis Logistics Limited
FACT,Fertilizers and Chemicals Travancore Limited
BLUESTARCO,Blue Star Limited
SANOFI,Sanofi India Limited
FINEORG,Fine Organic Industries Limited
AFFLE,Affle (India) Limited
GLENMARK,Glenmark Pharmaceuticals Limited
NAM-INDIA,Nippon Life India Asset Management Limited
SJVN,SJVN Limited
REDINGTON,Redington Limited
AAVAS,Aavas Financiers Limited
IDFC,IDFC Limited
FINCABLES,Finolex Cables Limited
NUVOCO,Nuvoco Vistas Corporation Limited
BAJAJELEC,Bajaj Electricals Limited
APTUS,Aptus Value Housing Finance India Limited
SUVENPHAR,Suven Pharmaceuticals Limited
ASTERDM,Aster DM Healthcare Limited
RHIM,RHI MAGNESITA INDIA LIMITED
KEC,KEC International Limited
SONATSOFTW,Sonata Software Limited
AETHER,Aether Industries Limited
DCMSHRIRAM,DCM Shriram Limited
IEX,Indian Energy Exchange Limited
HAPPSTMNDS,Happiest Minds Technologies Limited
KIMS,Krishna Institute of Medical Sciences Limited
ALKYLAMINE,Alkyl Amines Chemicals Limited
CYIENT,Cyient Limited
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
ASAHIINDIA,Asahi India Glass Limited
CASTROLIND,Castrol India Limited
BRIGADE,Brigade Enterprises Limited
KALYANKJIL,Kalyan Jewellers India Limited
TTML,Tata Teleservices (Maharashtra) Limited
VGUARD,V-Guard Industries Limited
NLCINDIA,NLC India Limited
LAXMIMACH,Lakshmi Machine Works Limited
TRITURBINE,Triveni Turbine Limited
FINPIPE,Finolex Industries Limited
AKZOINDIA,Akzo Nobel India Limited
MANAPPURAM,Manappuram Finance Limited
EIHOTEL,EIH Limited
CENTURYPLY,Century Plyboards (India) Limited
NATCOPHARM,Natco Pharma Limited
KIOCL,KIOCL Limited
CHOLAHLDNG,Cholamandalam Financial Holdings Limited
CAMPUS,Campus Activewear Limited
CAMS,Computer Age Management Services Limited
AMARAJABAT,Amara Raja Batteries Limited
ZYDUSWELL,Zydus Wellness Limited
BASF,BASF India Limited
TEJASNET,Tejas Networks Limited
APLLTD,Alembic Pharmaceuticals Limited
MGL,Mahanagar Gas Limited
GRINFRA,G R Infraprojects Limited
ANGELONE,Angel One Limited
SFL,Sheela Foam Limited
TTKPRESTIG,TTK Prestige Limited
APARINDS,Apar Industries Limited
HINDCOPPER,Hindustan Copper Limited
CDSL,Central Depository Services (India) Limited
GODFRYPHLP,Godfrey Phillips India Limited
RENUKA,Shree Renuka Sugars Limited
CUB,City Union Bank Limited
JKLAKSHMI,JK Lakshmi Cement Limited
ANURAS,Anupam Rasayan India Limited
MRPL,Mangalore Refinery and Petrochemicals Limited
GESHIP,The Great Eastern Shipping Company Limited
POLYMED,Poly Medicure Limited
NSLNISP,NMDC Steel Limited
BIKAJI,Bikaji Foods International Limited
MOTILALOFS,Motilal Oswal Financial Services Limited
ABSLAMC,Aditya Birla Sun Life AMC Limited
CESC,CESC Limited
TATAINVEST,Tata Investment Corporation Limited
ALLCARGO,Allcargo Logistics Limited
KALPATPOWR,Kalpataru Power Transmission Limited
PNBHOUSING,PNB Housing Finance Limited
HUDCO,Housing & Urban Development Corporation Limited
ITI,ITI Limited
ROUTE,ROUTE MOBILE LIMITED
RITES,RITES Limited
VTL,Vardhman Textiles Limited
RBLBANK,RBL Bank Limited
HFCL,HFCL Limited
KARURVYSYA,Karur Vysya Bank Limited
CERA,Cera Sanitaryware Limited
EIDPARRY,EID Parry India Limited
INGERRAND,Ingersoll Rand (India) Limited
GALAXYSURF,Galaxy Surfactants Limited
PPLPHARMA,Piramal Pharma Limited
UTIAMC,UTI Asset Management Company Limited
KRBL,KRBL Limited
RAYMOND,Raymond Limited
ASTRAZEN,AstraZeneca Pharma India Limited
VIPIND,VIP Industries Limited
ACI,Archean Chemical Industries Limited
BALRAMCHIN,Balrampur Chini Mills Limited
SUZLON,Suzlon Energy Limited
GODREJAGRO,Godrej Agrovet Limited
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
ERIS,Eris Lifesciences Limited
PGHL,Procter & Gamble Health Limited
MEDPLUS,Medplus Health Services Limited
SAPPHIRE,Sapphire Foods India Limited
DATAPATTNS,Data Patterns (India) Limited
SUNCLAYLTD,Sundaram Clayton Limited
JBMA,JBM Auto Limited
EASEMYTRIP,Easy Trip Planners Limited
CCL,CCL Products (India) Limited
EQUITASBNK,Equitas Small Finance Bank Limited
CHALET,Chalet Hotels Limited
RAINBOW,Rainbow Childrens Medicare Limited
PNCINFRA,PNC Infratech Limited
FSL,Firstsource Solutions Limited
KSB,Ksb Limited
BSOFT,BIRLASOFT LIMITED
KNRCON,KNR Constructions Limited
SHOPERSTOP,Shoppers Stop Limited
SYMPHONY,Symphony Limited
CENTURYTEX,Century Textiles & Industries Limited
CANFINHOME,Can Fin Homes Limited
GRANULES,Granules India Limited
TANLA,Tanla Platforms Limited
JYOTHYLAB,Jyothy Labs Limited
SPLPETRO,Supreme Petrochem Limited
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
CRAFTSMAN,Craftsman Automation Limited
BIRLACORPN,Birla Corporation Limited
BLS,BLS International Services Limited
SHYAMMETL,Shyam Metalics and Energy Limited
NCC,NCC Limited
GMMPFAUDLR,GMM Pfaudler Limited
LATENTVIEW,Latent View Analytics Limited
USHAMART,Usha Martin Limited
HOMEFIRST,Home First Finance Company India Limited
JKPAPER,JK Paper Limited
TMB,Tamilnad Mercantile Bank Limited
JINDWORLD,Jindal Worldwide Limited
METROPOLIS,Metropolis Healthcare Limited
SAREGAMA,Saregama India Limited
NBCC,NBCC (India) Limited
ECLERX,eClerx Services Limited
BALAMINES,Balaji Amines Limited
WELSPUNIND,Welspun India Limited
PRAJIND,Praj Industries Limited
COCHINSHIP,Cochin Shipyard Limited
ZENSARTECH,Zensar Technologies Limited
AMBER,Amber Enterprises India Limited
LEMONTREE,Lemon Tree Hotels Limited
PRINCEPIPE,Prince Pipes And Fittings Limited
TRIVENI,Triveni Engineering & Industries Limited
GARFIBRES,Garware Technical Fibres Limited
LXCHEM,Laxmi Organic Industries Limited
STLTECH,Sterlite Technologies Limited
CEATLTD,CEAT Limited
BSE,BSE Limited
SPARC,Sun Pharma Advanced Research Company Limited
ALOKINDS,Alok Industries Limited
ORIENTELEC,Orient Electric Limited
INDIACEM,The India Cements Limited
JUBLINGREA,Jubilant Ingrevia Limited
KIRLOSENG,Kirloskar Oil Engines Limited
TCIEXP,TCI Express Limited
JMFINANCIL,JM Financial Limited
NETWORK18,Network18 Media & Investments Limited
BBTC,Bombay Burmah Trading Corporation Limited
SWANENERGY,Swan Energy Limited
GPPL,Gujarat Pipavav Port Limited
KAYNES,Kaynes Technology India Limited
VRLLOG,VRL Logistics Limited
INTELLECT,Intellect Design Arena Limited
SWSOLAR,Sterling and Wilson Renewable Energy Limited
CHEMPLASTS,Chemplast Sanmar Limited
QUESS,Quess Corp Limited
ROLEXRINGS,Rolex Rings Limited
MAHLIFE,Mahindra Lifespace Developers Limited
ESABINDIA,Esab India Limited
MHRIL,Mahindra Holidays & Resorts India Limited
GOCOLORS,Go Fashion (India) Limited
HGS,Hinduja Global Solutions Limited
BORORENEW,BOROSIL RENEWABLES LIMITED
GAEL,Gujarat Ambuja Exports Limited
MAPMYINDIA,C.E. Info Systems Limited
PRSMJOHNSN,Prism Johnson Limited
RUSTOMJEE,Keystone Realtors Limited
IRCON,Ircon International Limited
RCF,Rashtriya Chemicals and Fertilizers Limited
WELCORP,Welspun Corp Limited
BEML,BEML Limited
GRSE,Garden Reach Shipbuilders & Engineers Limited
EPL,EPL Limited
MINDACORP,Minda Corporation Limited
GRAPHITE,Graphite India Limited
HGINFRA,H.G. Infra Engineering Limited
OLECTRA,Olectra Greentech Limited
RELINFRA,Reliance Infrastructure Limited
JUSTDIAL,Just Dial Limited
RAIN,Rain Industries Limited
IONEXCHANG,ION Exchange (India) Limited
EDELWEISS,Edelweiss Financial Services Limited
UJJIVANSFB,Ujjivan Small Finance Bank Limited
TV18BRDCST,TV18 Broadcast Limited
GPIL,Godawari Power And Ispat limited
MTARTECH,Mtar Technologies Limited
TCI,Transport Corporation of India Limited
RTNINDIA,RattanIndia Enterprises Limited
VSTIND,VST Industries Limited
SAFARI,Safari Industries (India) Limited
ACE,Action Construction Equipment Limited
MAHSCOOTER,Maharashtra Scooters Limited
DELTACORP,Delta Corp Limited
GLS,Glenmark Life Sciences Limited
GHCL,GHCL Limited
INDIGOPNTS,Indigo Paints Limited
MAHSEAMLES,Maharashtra Seamless Limited
SUPRAJIT,Suprajit Engineering Limited
KFINTECH,Kfin Technologies Limited
GSFC,Gujarat State Fertilizers & Chemicals Limited
J&KBANK,The Jammu & Kashmir Bank Limited
RELIGARE,Religare Enterprises Limited
MASTEK,Mastek Limited
SIS,SIS LIMITED
JINDALSAW,Jindal Saw Limited
TEGA,Tega Industries Limited
SYRMA,Syrma SGS Technology Limited
AVANTIFEED,Avanti Feeds Limited
STARCEMENT,Star Cement Limited
IBULHSGFIN,Indiabulls Housing Finance Limited
RKFORGE,Ramkrishna Forgings Limited
CAPLIPOINT,Caplin Point Laboratories Limited
VAIBHAVGBL,Vaibhav Global Limited
RBA,Restaurant Brands Asia Limited
JUBLPHARMA,Jubilant Pharmova Limited
SHARDACROP,Sharda Cropchem Limited
NIITLTD,NIIT Limited
PCBL,PCBL LIMITED
MASFIN,MAS Financial Services Limited
SCI,Shipping Corporation Of India Limited
PDSL,PDS Limited
GUJALKALI,Gujarat Alkalies and Chemicals Limited
ELECON,Elecon Engineering Company Limited
CMSINFO,CMS Info Systems Limited
VMART,V-Mart Retail Limited
ICRA,ICRA Limited
JSWHL,JSW Holdings Limited
FDC,FDC Limited
CSBBANK,CSB Bank Limited
KTKBANK,The Karnataka Bank Limited
MMTC,MMTC Limited
ENGINERSIN,Engineers India Limited
SUNTECK,Sunteck Realty Limited
PRIVISCL,Privi Speciality Chemicals Limited
PARADEEP,Paradeep Phosphates Limited
SOBHA,Sobha Limited
FUSION,Fusion Micro Finance Limited
GMDCLTD,Gujarat Mineral Development Corporation Limited
VIJAYA,Vijaya Diagnostic Centre Limited
JAMNAAUTO,Jamna Auto Industries Limited
ANANTRAJ,Anant Raj Limited
SANSERA,Sansera Engineering Limited
MFL,Meghmani Finechem Limited
AHLUCONT,Ahluwalia Contracts (India) Limited
BSHSL,Bombay Super Hybrid Seeds Limited
TATACOFFEE,Tata Coffee Limited
TEAMLEASE,Teamlease Services Limited
JKTYRE,JK Tyre & Industries Limited
VARROC,Varroc Engineering Limited
GREENLAM,Greenlam Industries Limited
JPPOWER,Jaiprakash Power Ventures Limited
INFIBEAM,Infibeam Avenues Limited
SPANDANA,Spandana Sphoorty Financial Limited
HSCL,Himadri Speciality Chemical Limited
BHARATRAS,Bharat Rasayan Limited
